Command line
python train.py --data_path ../datasets/marketdrug/intrial_allainvivo_KNIME_rmnu_11-24_train.csv --dataset_type classification --num_workers 2 --save_dir ../pipeline/marketdrug/normal_active_intrial_allainvivo_nopretrain_firsttrain_05-10 --epochs 50 --features_path ../datasets/marketdrug/intrial_allainvivo_KNIME_rmnu_11-24_train_rdkit_2d_normalized.npy --separate_test_path ../datasets/marketdrug/intrial_allainvivo_KNIME_rmnu_11-24_test.csv --separate_test_features_path ../datasets/marketdrug/intrial_allainvivo_KNIME_rmnu_11-24_test_rdkit_2d_normalized.npy --no_features_scaling --metric auc --init_lr 1e-3 --max_lr 1e-3 --final_lr 1e-3 --s ../pipeline/marketdrug/test_active_intrial_allainvivo_11-24_nopretrain_firsttrain_05-10_s --mode active --depth 2 --hidden_size 300 --ffn_num_layer 2 --batch_size 500 --smiles_column smiles --target_columns label --fold 0 --round 0
iteration 0
Class sizes
label 0: 65.62%, 1: 34.38%
Building model 0
DMPNN(
  (sigmoid): Sigmoid()
  (encoder): MPNEncoder(
    (dropout_layer): Dropout(p=0.0, inplace=False)
    (act_func): ReLU()
    (W_i): Linear(in_features=147, out_features=300, bias=False)
    (W_h): Linear(in_features=300, out_features=300, bias=False)
    (W_o): Linear(in_features=433, out_features=300, bias=True)
  )
  (ffn): Sequential(
    (0): Dropout(p=0.0, inplace=False)
    (1): Linear(in_features=500, out_features=300, bias=True)
    (2): ReLU()
    (3): Dropout(p=0.0, inplace=False)
    (4): Linear(in_features=300, out_features=1, bias=True)
  )
)
Number of parameters = 414,901
Moving model to cuda
Epoch 0
Loss = 7.1740e-01, PNorm = 35.1219, GNorm = 1.2712, lr_0 = 1.0000e-03
Loss = 6.0691e-01, PNorm = 35.2026, GNorm = 0.1004, lr_0 = 1.0000e-03
Loss = 6.1097e-01, PNorm = 35.2072, GNorm = 0.1341, lr_0 = 1.0000e-03
Loss = 5.9174e-01, PNorm = 35.2117, GNorm = 0.2290, lr_0 = 1.0000e-03
Loss = 5.9207e-01, PNorm = 35.2160, GNorm = 0.1187, lr_0 = 1.0000e-03
Loss = 5.8765e-01, PNorm = 35.2202, GNorm = 0.1484, lr_0 = 1.0000e-03
Loss = 5.9943e-01, PNorm = 35.2242, GNorm = 0.2796, lr_0 = 1.0000e-03
Loss = 5.8715e-01, PNorm = 35.2283, GNorm = 0.1723, lr_0 = 1.0000e-03
Loss = 5.7801e-01, PNorm = 35.2325, GNorm = 0.1458, lr_0 = 1.0000e-03
Loss = 6.0256e-01, PNorm = 35.2366, GNorm = 0.1606, lr_0 = 1.0000e-03
Loss = 5.8262e-01, PNorm = 35.2408, GNorm = 0.2263, lr_0 = 1.0000e-03
Loss = 5.9242e-01, PNorm = 35.2451, GNorm = 0.1379, lr_0 = 1.0000e-03
Loss = 5.7939e-01, PNorm = 35.2496, GNorm = 0.3028, lr_0 = 1.0000e-03
Loss = 5.6872e-01, PNorm = 35.2543, GNorm = 0.3351, lr_0 = 1.0000e-03
Loss = 5.9024e-01, PNorm = 35.2591, GNorm = 0.1050, lr_0 = 1.0000e-03
Loss = 6.0463e-01, PNorm = 35.2636, GNorm = 0.3505, lr_0 = 1.0000e-03
Loss = 5.6223e-01, PNorm = 35.2682, GNorm = 0.1334, lr_0 = 1.0000e-03
Loss = 5.5082e-01, PNorm = 35.2732, GNorm = 0.1475, lr_0 = 1.0000e-03
Loss = 5.7012e-01, PNorm = 35.2781, GNorm = 0.1245, lr_0 = 1.0000e-03
Loss = 5.9177e-01, PNorm = 35.2830, GNorm = 0.3071, lr_0 = 1.0000e-03
Loss = 6.0575e-01, PNorm = 35.2879, GNorm = 0.2634, lr_0 = 1.0000e-03
Loss = 5.6876e-01, PNorm = 35.2932, GNorm = 0.2894, lr_0 = 1.0000e-03
Loss = 5.8122e-01, PNorm = 35.2986, GNorm = 0.3064, lr_0 = 1.0000e-03
Validation auc = 0.720403
round 0 best train auc = 0.724167 on epoch 0
round 0 best validation auc = 0.720403 on epoch 0
Epoch 1
Loss = 5.5767e-01, PNorm = 35.3045, GNorm = 0.2393, lr_0 = 1.0000e-03
Loss = 5.7120e-01, PNorm = 35.3105, GNorm = 0.1904, lr_0 = 1.0000e-03
Loss = 5.7925e-01, PNorm = 35.3166, GNorm = 0.1492, lr_0 = 1.0000e-03
Loss = 5.7135e-01, PNorm = 35.3224, GNorm = 0.1593, lr_0 = 1.0000e-03
Loss = 5.5879e-01, PNorm = 35.3282, GNorm = 0.1092, lr_0 = 1.0000e-03
Loss = 5.6738e-01, PNorm = 35.3341, GNorm = 0.2004, lr_0 = 1.0000e-03
Loss = 5.7286e-01, PNorm = 35.3403, GNorm = 0.1040, lr_0 = 1.0000e-03
Loss = 5.4156e-01, PNorm = 35.3471, GNorm = 0.1439, lr_0 = 1.0000e-03
Loss = 5.7843e-01, PNorm = 35.3533, GNorm = 0.2148, lr_0 = 1.0000e-03
Loss = 5.8788e-01, PNorm = 35.3594, GNorm = 0.1146, lr_0 = 1.0000e-03
Loss = 5.7667e-01, PNorm = 35.3657, GNorm = 0.1494, lr_0 = 1.0000e-03
Loss = 5.8023e-01, PNorm = 35.3727, GNorm = 0.1944, lr_0 = 1.0000e-03
Loss = 5.6299e-01, PNorm = 35.3806, GNorm = 0.1892, lr_0 = 1.0000e-03
Loss = 5.4005e-01, PNorm = 35.3886, GNorm = 0.1620, lr_0 = 1.0000e-03
Loss = 5.5105e-01, PNorm = 35.3968, GNorm = 0.1495, lr_0 = 1.0000e-03
Loss = 5.3200e-01, PNorm = 35.4052, GNorm = 0.3003, lr_0 = 1.0000e-03
Loss = 5.6622e-01, PNorm = 35.4119, GNorm = 0.4272, lr_0 = 1.0000e-03
Loss = 5.7732e-01, PNorm = 35.4172, GNorm = 0.4311, lr_0 = 1.0000e-03
Loss = 5.6033e-01, PNorm = 35.4231, GNorm = 0.1079, lr_0 = 1.0000e-03
Loss = 5.4396e-01, PNorm = 35.4291, GNorm = 0.3008, lr_0 = 1.0000e-03
Loss = 5.7156e-01, PNorm = 35.4353, GNorm = 0.2731, lr_0 = 1.0000e-03
Loss = 5.3660e-01, PNorm = 35.4417, GNorm = 0.4421, lr_0 = 1.0000e-03
Loss = 5.9585e-01, PNorm = 35.4481, GNorm = 0.3912, lr_0 = 1.0000e-03
Loss = 5.5609e-01, PNorm = 35.4542, GNorm = 0.2778, lr_0 = 1.0000e-03
Loss = 5.7741e-01, PNorm = 35.4604, GNorm = 0.5538, lr_0 = 1.0000e-03
Loss = 5.4874e-01, PNorm = 35.4673, GNorm = 0.1480, lr_0 = 1.0000e-03
Loss = 5.8570e-01, PNorm = 35.4741, GNorm = 0.3808, lr_0 = 1.0000e-03
Loss = 5.5959e-01, PNorm = 35.4810, GNorm = 0.7092, lr_0 = 1.0000e-03
Loss = 5.5739e-01, PNorm = 35.4884, GNorm = 0.2940, lr_0 = 1.0000e-03
Loss = 5.6264e-01, PNorm = 35.4960, GNorm = 0.2498, lr_0 = 1.0000e-03
Loss = 5.1469e-01, PNorm = 35.5034, GNorm = 0.2065, lr_0 = 1.0000e-03
Loss = 5.4927e-01, PNorm = 35.5108, GNorm = 0.2456, lr_0 = 1.0000e-03
Loss = 5.7664e-01, PNorm = 35.5180, GNorm = 0.3192, lr_0 = 1.0000e-03
Loss = 5.7506e-01, PNorm = 35.5252, GNorm = 0.4472, lr_0 = 1.0000e-03
Loss = 5.7775e-01, PNorm = 35.5329, GNorm = 0.1967, lr_0 = 1.0000e-03
Loss = 5.5353e-01, PNorm = 35.5404, GNorm = 0.3706, lr_0 = 1.0000e-03
Loss = 5.6744e-01, PNorm = 35.5482, GNorm = 0.7727, lr_0 = 1.0000e-03
Loss = 5.3787e-01, PNorm = 35.5561, GNorm = 0.3187, lr_0 = 1.0000e-03
Loss = 5.5121e-01, PNorm = 35.5636, GNorm = 0.1885, lr_0 = 1.0000e-03
Loss = 5.3927e-01, PNorm = 35.5712, GNorm = 0.3128, lr_0 = 1.0000e-03
Validation auc = 0.759843
round 0 best train auc = 0.766071 on epoch 1
round 0 best validation auc = 0.759843 on epoch 1
Epoch 2
Loss = 5.4339e-01, PNorm = 35.5784, GNorm = 0.1332, lr_0 = 1.0000e-03
Loss = 5.2680e-01, PNorm = 35.5849, GNorm = 0.2245, lr_0 = 1.0000e-03
Loss = 5.3814e-01, PNorm = 35.5911, GNorm = 0.2753, lr_0 = 1.0000e-03
Loss = 5.5592e-01, PNorm = 35.5973, GNorm = 0.1910, lr_0 = 1.0000e-03
Loss = 5.4963e-01, PNorm = 35.6040, GNorm = 0.1463, lr_0 = 1.0000e-03
Loss = 5.3841e-01, PNorm = 35.6113, GNorm = 0.1743, lr_0 = 1.0000e-03
Loss = 5.8940e-01, PNorm = 35.6192, GNorm = 0.2430, lr_0 = 1.0000e-03
Loss = 5.8458e-01, PNorm = 35.6269, GNorm = 0.3316, lr_0 = 1.0000e-03
Loss = 5.2737e-01, PNorm = 35.6352, GNorm = 0.3800, lr_0 = 1.0000e-03
Loss = 5.1562e-01, PNorm = 35.6442, GNorm = 0.1195, lr_0 = 1.0000e-03
Loss = 5.5396e-01, PNorm = 35.6534, GNorm = 0.1281, lr_0 = 1.0000e-03
Loss = 5.4347e-01, PNorm = 35.6619, GNorm = 0.5186, lr_0 = 1.0000e-03
Loss = 5.4675e-01, PNorm = 35.6703, GNorm = 0.4111, lr_0 = 1.0000e-03
Loss = 5.5973e-01, PNorm = 35.6786, GNorm = 0.3390, lr_0 = 1.0000e-03
Loss = 5.5267e-01, PNorm = 35.6874, GNorm = 0.1399, lr_0 = 1.0000e-03
Loss = 5.5767e-01, PNorm = 35.6964, GNorm = 0.4842, lr_0 = 1.0000e-03
Loss = 5.6326e-01, PNorm = 35.7054, GNorm = 0.5880, lr_0 = 1.0000e-03
Loss = 5.1335e-01, PNorm = 35.7151, GNorm = 0.4307, lr_0 = 1.0000e-03
Loss = 5.4666e-01, PNorm = 35.7245, GNorm = 0.1730, lr_0 = 1.0000e-03
Loss = 5.2005e-01, PNorm = 35.7337, GNorm = 0.2266, lr_0 = 1.0000e-03
Loss = 5.4743e-01, PNorm = 35.7415, GNorm = 0.4445, lr_0 = 1.0000e-03
Loss = 5.1898e-01, PNorm = 35.7494, GNorm = 0.3831, lr_0 = 1.0000e-03
Loss = 5.4098e-01, PNorm = 35.7574, GNorm = 0.3367, lr_0 = 1.0000e-03
Loss = 5.7016e-01, PNorm = 35.7656, GNorm = 0.1525, lr_0 = 1.0000e-03
Loss = 5.3668e-01, PNorm = 35.7744, GNorm = 0.1095, lr_0 = 1.0000e-03
Loss = 5.3603e-01, PNorm = 35.7840, GNorm = 0.3296, lr_0 = 1.0000e-03
Loss = 5.2628e-01, PNorm = 35.7935, GNorm = 0.6923, lr_0 = 1.0000e-03
Loss = 5.3939e-01, PNorm = 35.8037, GNorm = 0.4507, lr_0 = 1.0000e-03
Loss = 5.4707e-01, PNorm = 35.8140, GNorm = 0.2823, lr_0 = 1.0000e-03
Loss = 5.5031e-01, PNorm = 35.8241, GNorm = 0.3403, lr_0 = 1.0000e-03
Loss = 5.4293e-01, PNorm = 35.8336, GNorm = 0.4735, lr_0 = 1.0000e-03
Loss = 5.5438e-01, PNorm = 35.8426, GNorm = 0.2034, lr_0 = 1.0000e-03
Loss = 5.1729e-01, PNorm = 35.8524, GNorm = 0.1121, lr_0 = 1.0000e-03
Loss = 5.7983e-01, PNorm = 35.8625, GNorm = 0.1172, lr_0 = 1.0000e-03
Loss = 5.4426e-01, PNorm = 35.8729, GNorm = 0.2634, lr_0 = 1.0000e-03
Loss = 5.3257e-01, PNorm = 35.8835, GNorm = 0.2480, lr_0 = 1.0000e-03
Loss = 5.2608e-01, PNorm = 35.8943, GNorm = 0.2601, lr_0 = 1.0000e-03
Loss = 5.0632e-01, PNorm = 35.9053, GNorm = 0.2938, lr_0 = 1.0000e-03
Loss = 5.3604e-01, PNorm = 35.9162, GNorm = 0.0931, lr_0 = 1.0000e-03
Loss = 5.3170e-01, PNorm = 35.9262, GNorm = 0.2882, lr_0 = 1.0000e-03
Command line
python train.py --data_path ../datasets/marketdrug/intrial_allainvivo_KNIME_rmnu_11-24_train.csv --dataset_type classification --num_workers 2 --save_dir ../pipeline/marketdrug/normal_active_intrial_allainvivo_nopretrain_firsttrain_05-10 --epochs 50 --features_path ../datasets/marketdrug/intrial_allainvivo_KNIME_rmnu_11-24_train_rdkit_2d_normalized.npy --separate_test_path ../datasets/marketdrug/intrial_allainvivo_KNIME_rmnu_11-24_test.csv --separate_test_features_path ../datasets/marketdrug/intrial_allainvivo_KNIME_rmnu_11-24_test_rdkit_2d_normalized.npy --no_features_scaling --metric auc --init_lr 1e-3 --max_lr 1e-3 --final_lr 1e-3 --s ../pipeline/marketdrug/test_active_intrial_allainvivo_11-24_nopretrain_firsttrain_05-10_s --mode active --depth 2 --hidden_size 300 --ffn_num_layer 2 --batch_size 500 --smiles_column smiles --target_columns label --fold 1 --round 0
iteration 0
Class sizes
label 0: 65.67%, 1: 34.33%
Building model 0
DMPNN(
  (sigmoid): Sigmoid()
  (encoder): MPNEncoder(
    (dropout_layer): Dropout(p=0.0, inplace=False)
    (act_func): ReLU()
    (W_i): Linear(in_features=147, out_features=300, bias=False)
    (W_h): Linear(in_features=300, out_features=300, bias=False)
    (W_o): Linear(in_features=433, out_features=300, bias=True)
  )
  (ffn): Sequential(
    (0): Dropout(p=0.0, inplace=False)
    (1): Linear(in_features=500, out_features=300, bias=True)
    (2): ReLU()
    (3): Dropout(p=0.0, inplace=False)
    (4): Linear(in_features=300, out_features=1, bias=True)
  )
)
Number of parameters = 414,901
Moving model to cuda
Validation auc = 0.777419
round 0 best train auc = 0.782181 on epoch 2
round 0 best validation auc = 0.777419 on epoch 2
Epoch 3
Loss = 5.8815e-01, PNorm = 35.9351, GNorm = 0.7254, lr_0 = 1.0000e-03
Loss = 5.0675e-01, PNorm = 35.9441, GNorm = 0.2647, lr_0 = 1.0000e-03
Epoch 0
Loss = 5.2061e-01, PNorm = 35.9541, GNorm = 0.2148, lr_0 = 1.0000e-03
Loss = 5.4541e-01, PNorm = 35.9644, GNorm = 0.3903, lr_0 = 1.0000e-03
Loss = 5.2913e-01, PNorm = 35.9749, GNorm = 0.5836, lr_0 = 1.0000e-03
Loss = 7.2547e-01, PNorm = 35.1220, GNorm = 1.3310, lr_0 = 1.0000e-03
Loss = 5.2569e-01, PNorm = 35.9856, GNorm = 0.4637, lr_0 = 1.0000e-03
Loss = 7.6270e-01, PNorm = 35.1232, GNorm = 1.7035, lr_0 = 1.0000e-03
Loss = 5.6695e-01, PNorm = 35.9965, GNorm = 0.1368, lr_0 = 1.0000e-03
Loss = 6.6710e-01, PNorm = 35.1255, GNorm = 0.9585, lr_0 = 1.0000e-03
Loss = 5.0174e-01, PNorm = 36.0083, GNorm = 0.2315, lr_0 = 1.0000e-03
Loss = 6.4166e-01, PNorm = 35.1292, GNorm = 0.2859, lr_0 = 1.0000e-03
Loss = 5.5053e-01, PNorm = 36.0189, GNorm = 0.5427, lr_0 = 1.0000e-03
Loss = 5.3777e-01, PNorm = 36.0293, GNorm = 0.6182, lr_0 = 1.0000e-03
Loss = 6.4362e-01, PNorm = 35.1337, GNorm = 0.6153, lr_0 = 1.0000e-03
Loss = 6.2019e-01, PNorm = 36.0397, GNorm = 0.6543, lr_0 = 1.0000e-03
Loss = 6.5495e-01, PNorm = 35.1383, GNorm = 0.6673, lr_0 = 1.0000e-03
Loss = 5.1947e-01, PNorm = 36.0503, GNorm = 0.2147, lr_0 = 1.0000e-03
Loss = 6.4648e-01, PNorm = 35.1434, GNorm = 0.5031, lr_0 = 1.0000e-03
Loss = 5.5222e-01, PNorm = 36.0615, GNorm = 0.2967, lr_0 = 1.0000e-03
Loss = 6.1964e-01, PNorm = 35.1489, GNorm = 0.6010, lr_0 = 1.0000e-03
Loss = 5.4351e-01, PNorm = 36.0727, GNorm = 0.3290, lr_0 = 1.0000e-03
Loss = 5.9785e-01, PNorm = 35.1547, GNorm = 0.2108, lr_0 = 1.0000e-03
Loss = 5.6947e-01, PNorm = 36.0844, GNorm = 0.7159, lr_0 = 1.0000e-03
Loss = 6.3015e-01, PNorm = 35.1599, GNorm = 0.5926, lr_0 = 1.0000e-03
Loss = 5.3310e-01, PNorm = 36.0969, GNorm = 0.5337, lr_0 = 1.0000e-03
Loss = 5.1165e-01, PNorm = 36.1100, GNorm = 0.2642, lr_0 = 1.0000e-03
Loss = 6.8301e-01, PNorm = 35.1645, GNorm = 0.8439, lr_0 = 1.0000e-03
Loss = 6.1230e-01, PNorm = 35.1688, GNorm = 0.4331, lr_0 = 1.0000e-03
Loss = 5.4052e-01, PNorm = 36.1215, GNorm = 0.3810, lr_0 = 1.0000e-03
Loss = 5.6351e-01, PNorm = 36.1314, GNorm = 0.7228, lr_0 = 1.0000e-03
Loss = 6.0067e-01, PNorm = 35.1733, GNorm = 0.1491, lr_0 = 1.0000e-03
Loss = 5.4302e-01, PNorm = 36.1408, GNorm = 0.3681, lr_0 = 1.0000e-03
Loss = 5.9444e-01, PNorm = 35.1779, GNorm = 0.1430, lr_0 = 1.0000e-03
Loss = 4.9814e-01, PNorm = 36.1504, GNorm = 0.1636, lr_0 = 1.0000e-03
Loss = 5.9905e-01, PNorm = 35.1827, GNorm = 0.3192, lr_0 = 1.0000e-03
Loss = 5.6129e-01, PNorm = 36.1609, GNorm = 0.2727, lr_0 = 1.0000e-03
Loss = 5.9176e-01, PNorm = 35.1877, GNorm = 0.3221, lr_0 = 1.0000e-03
Loss = 5.2708e-01, PNorm = 36.1716, GNorm = 0.4278, lr_0 = 1.0000e-03
Loss = 6.0622e-01, PNorm = 35.1926, GNorm = 0.2060, lr_0 = 1.0000e-03
Loss = 5.1225e-01, PNorm = 36.1826, GNorm = 0.1826, lr_0 = 1.0000e-03
Loss = 6.0488e-01, PNorm = 35.1975, GNorm = 0.1095, lr_0 = 1.0000e-03
Loss = 5.2238e-01, PNorm = 36.1941, GNorm = 0.3585, lr_0 = 1.0000e-03
Loss = 4.8843e-01, PNorm = 36.2061, GNorm = 0.4188, lr_0 = 1.0000e-03
Loss = 6.0291e-01, PNorm = 35.2024, GNorm = 0.2177, lr_0 = 1.0000e-03
Loss = 5.2902e-01, PNorm = 36.2183, GNorm = 0.1197, lr_0 = 1.0000e-03
Loss = 6.0936e-01, PNorm = 35.2074, GNorm = 0.1811, lr_0 = 1.0000e-03
Loss = 5.3369e-01, PNorm = 36.2303, GNorm = 0.2425, lr_0 = 1.0000e-03
Loss = 6.0813e-01, PNorm = 35.2122, GNorm = 0.1402, lr_0 = 1.0000e-03
Loss = 5.0803e-01, PNorm = 36.2422, GNorm = 0.2894, lr_0 = 1.0000e-03
Loss = 5.8289e-01, PNorm = 35.2170, GNorm = 0.1053, lr_0 = 1.0000e-03
Loss = 4.9616e-01, PNorm = 36.2540, GNorm = 0.2419, lr_0 = 1.0000e-03
Loss = 6.2897e-01, PNorm = 35.2215, GNorm = 0.4206, lr_0 = 1.0000e-03
Loss = 4.8728e-01, PNorm = 36.2658, GNorm = 0.1284, lr_0 = 1.0000e-03
Loss = 5.4029e-01, PNorm = 35.2263, GNorm = 0.1914, lr_0 = 1.0000e-03
Loss = 5.1779e-01, PNorm = 36.2779, GNorm = 0.1251, lr_0 = 1.0000e-03
Loss = 5.7824e-01, PNorm = 35.2311, GNorm = 0.1024, lr_0 = 1.0000e-03
Loss = 5.3370e-01, PNorm = 36.2907, GNorm = 0.1130, lr_0 = 1.0000e-03
Loss = 5.9391e-01, PNorm = 35.2357, GNorm = 0.2047, lr_0 = 1.0000e-03
Loss = 5.1082e-01, PNorm = 36.3043, GNorm = 0.1270, lr_0 = 1.0000e-03
Loss = 5.5595e-01, PNorm = 36.3173, GNorm = 0.1858, lr_0 = 1.0000e-03
Loss = 6.1361e-01, PNorm = 35.2402, GNorm = 0.3457, lr_0 = 1.0000e-03
Loss = 5.4289e-01, PNorm = 36.3305, GNorm = 0.1382, lr_0 = 1.0000e-03
Loss = 5.9499e-01, PNorm = 35.2447, GNorm = 0.1753, lr_0 = 1.0000e-03
Loss = 5.1904e-01, PNorm = 36.3437, GNorm = 0.1050, lr_0 = 1.0000e-03
Loss = 5.7259e-01, PNorm = 35.2494, GNorm = 0.2522, lr_0 = 1.0000e-03
Loss = 4.9801e-01, PNorm = 36.3572, GNorm = 0.2379, lr_0 = 1.0000e-03
Loss = 6.1077e-01, PNorm = 35.2542, GNorm = 0.1844, lr_0 = 1.0000e-03
Loss = 5.0353e-01, PNorm = 36.3707, GNorm = 0.1540, lr_0 = 1.0000e-03
Loss = 5.0296e-01, PNorm = 36.3853, GNorm = 0.2534, lr_0 = 1.0000e-03
Loss = 5.6895e-01, PNorm = 35.2590, GNorm = 0.2531, lr_0 = 1.0000e-03
Loss = 5.7967e-01, PNorm = 35.2639, GNorm = 0.1263, lr_0 = 1.0000e-03
Loss = 5.7856e-01, PNorm = 35.2689, GNorm = 0.1177, lr_0 = 1.0000e-03
Loss = 5.8722e-01, PNorm = 35.2740, GNorm = 0.1412, lr_0 = 1.0000e-03
Loss = 6.2315e-01, PNorm = 35.2782, GNorm = 0.4628, lr_0 = 1.0000e-03
Loss = 5.6660e-01, PNorm = 35.2821, GNorm = 0.1643, lr_0 = 1.0000e-03
Loss = 5.4991e-01, PNorm = 35.2863, GNorm = 0.1442, lr_0 = 1.0000e-03
Loss = 5.5156e-01, PNorm = 35.2909, GNorm = 0.4913, lr_0 = 1.0000e-03
Loss = 5.8062e-01, PNorm = 35.2956, GNorm = 0.1610, lr_0 = 1.0000e-03
Loss = 5.7281e-01, PNorm = 35.3008, GNorm = 0.2270, lr_0 = 1.0000e-03
Validation auc = 0.791224
round 0 best train auc = 0.796853 on epoch 3
round 0 best validation auc = 0.791224 on epoch 3
Epoch 4
Loss = 5.4179e-01, PNorm = 36.4005, GNorm = 0.2242, lr_0 = 1.0000e-03
Loss = 5.0564e-01, PNorm = 36.4160, GNorm = 0.1553, lr_0 = 1.0000e-03
Loss = 4.8552e-01, PNorm = 36.4309, GNorm = 0.1766, lr_0 = 1.0000e-03
Loss = 5.3691e-01, PNorm = 36.4457, GNorm = 0.1543, lr_0 = 1.0000e-03
Loss = 5.3958e-01, PNorm = 36.4605, GNorm = 0.2132, lr_0 = 1.0000e-03
Loss = 5.1674e-01, PNorm = 36.4763, GNorm = 0.2280, lr_0 = 1.0000e-03
Loss = 5.5302e-01, PNorm = 36.4916, GNorm = 0.2433, lr_0 = 1.0000e-03
Loss = 5.0506e-01, PNorm = 36.5069, GNorm = 0.3429, lr_0 = 1.0000e-03
Loss = 5.3365e-01, PNorm = 36.5231, GNorm = 0.3034, lr_0 = 1.0000e-03
Loss = 5.1417e-01, PNorm = 36.5375, GNorm = 0.1591, lr_0 = 1.0000e-03
Loss = 5.0380e-01, PNorm = 36.5515, GNorm = 0.1878, lr_0 = 1.0000e-03
Loss = 5.2969e-01, PNorm = 36.5641, GNorm = 0.5519, lr_0 = 1.0000e-03
Validation auc = 0.736354
round 0 best train auc = 0.725895 on epoch 0
round 0 best validation auc = 0.736354 on epoch 0
Epoch 1
Loss = 4.7234e-01, PNorm = 36.5775, GNorm = 0.1551, lr_0 = 1.0000e-03
Loss = 5.4159e-01, PNorm = 35.3065, GNorm = 0.1792, lr_0 = 1.0000e-03
Loss = 5.1749e-01, PNorm = 36.5912, GNorm = 0.2532, lr_0 = 1.0000e-03
Loss = 5.6045e-01, PNorm = 35.3121, GNorm = 0.2540, lr_0 = 1.0000e-03
Loss = 5.2884e-01, PNorm = 36.6055, GNorm = 0.3113, lr_0 = 1.0000e-03
Loss = 5.8927e-01, PNorm = 35.3171, GNorm = 0.3749, lr_0 = 1.0000e-03
Loss = 5.4905e-01, PNorm = 36.6194, GNorm = 0.3506, lr_0 = 1.0000e-03
Loss = 5.6722e-01, PNorm = 35.3221, GNorm = 0.2436, lr_0 = 1.0000e-03
Loss = 5.0473e-01, PNorm = 36.6347, GNorm = 0.3898, lr_0 = 1.0000e-03
Loss = 5.6411e-01, PNorm = 35.3273, GNorm = 0.1057, lr_0 = 1.0000e-03
Loss = 4.8088e-01, PNorm = 36.6511, GNorm = 0.1555, lr_0 = 1.0000e-03
Loss = 5.7175e-01, PNorm = 35.3328, GNorm = 0.1158, lr_0 = 1.0000e-03
